zp,mu,absmagnitude,magnitude,time,e_absmagnitude,upperlimit,z,instrument,e_magnitude,e_flux,name,flux,band,e_zp,facility
-48.6,37.65880949200498,-15.1331004021038,22.525709089901177,58154.52383,8.710756319871997,False,0.07944,Kepler,10.952605216263327,2.7963303404355267e-29,2017jgh,3.5458173770516015e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.874517567504874,22.784291924500103,58154.544263,11.050884043057712,False,0.07944,Kepler,11.392143148386939,2.7963303404355267e-29,2017jgh,2.79436562518254e-29,K,0.0,Kepler
-48.6,37.65880949200498,-16.29369161576424,21.36511787624074,58154.564697,2.994464291721755,False,0.07944,Kepler,5.390243235659557,2.7963303404355267e-29,2017jgh,1.0326492869765812e-28,K,0.0,Kepler
-48.6,37.65880949200498,-14.051332912053475,23.607476579951502,58154.58513,23.56888084765689,False,0.07944,Kepler,9.065573521543863,2.7963303404355267e-29,2017jgh,1.3092101632244978e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.396343720032469,22.262465771972508,58154.605564,6.834590823596225,False,0.07944,Kepler,9.961838454441175,2.7963303404355267e-29,2017jgh,4.518701894386916e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.35974664316543,22.299062848839547,58154.625998,7.0693065987224735,False,0.07944,Kepler,10.124761073559327,2.7963303404355267e-29,2017jgh,4.368927727130344e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.313430789012507,22.34537870299247,58154.646431,7.37413411175529,False,0.07944,Kepler,10.320830304877168,2.7963303404355267e-29,2017jgh,4.186475160873808e-29,K,0.0,Kepler
-48.6,37.65880949200498,-12.564148406755514,25.094661085249463,58154.666865,92.74083960231326,False,0.07944,Kepler,2.944567515180622,2.7963303404355267e-29,2017jgh,3.327634098545293e-30,K,0.0,Kepler
-48.6,37.65880949200498,-15.410324164112772,22.248485327892205,58154.687298,6.745245948448542,False,0.07944,Kepler,9.897895246414404,2.7963303404355267e-29,2017jgh,4.5772630215256803e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.847283076502087,21.81152641550289,58154.707732,4.513650655571055,False,0.07944,Kepler,7.635892264485349,2.7963303404355267e-29,2017jgh,6.845251889474015e-29,K,0.0,Kepler
-48.6,37.65880949200498,-13.26194123502929,24.396868256975687,58154.748599,48.727640807667974,False,0.07944,Kepler,5.251823261529666,2.7963303404355267e-29,2017jgh,6.327799316047625e-30,K,0.0,Kepler
-48.6,37.65880949200498,-15.295177745914394,22.363631746090583,58154.769033,7.4983619995681705,False,0.07944,Kepler,10.394722525018462,2.7963303404355267e-29,2017jgh,4.116681820616224e-29,K,0.0,Kepler
-48.6,37.65880949200498,-12.066899335338228,25.59191015666675,58154.789467,146.43506088718863,False,0.07944,Kepler,-1.9155623564571345,2.7963303404355267e-29,2017jgh,-2.104921661123663e-30,K,0.0,Kepler
-48.6,37.65880949200498,-13.90183607759031,23.756973414414666,58154.8099,27.037567422231092,False,0.07944,Kepler,8.3090768780757,2.7963303404355267e-29,2017jgh,1.1408029465423105e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.214696231657491,22.444113260347486,58154.830334,8.074674657825629,False,0.07944,Kepler,10.695182326219504,2.7963303404355267e-29,2017jgh,3.822563387909871e-29,K,0.0,Kepler
-48.6,37.65880949200498,-11.501529201272199,26.15728029073278,58154.850766999996,246.56459742029494,False,0.07944,Kepler,1.1674124905914456,2.7963303404355267e-29,2017jgh,1.2505120578771914e-30,K,0.0,Kepler
-48.6,37.65880949200498,-11.912548570116009,25.746260921888968,58154.871201,168.74361044446135,False,0.07944,Kepler,-1.6740693307293175,2.7963303404355267e-29,2017jgh,-1.8259783806781493e-30,K,0.0,Kepler
-48.6,37.65880949200498,-13.858472196666504,23.800337295338473,58154.891634,28.128202548649092,False,0.07944,Kepler,8.086915369542982,2.7963303404355267e-29,2017jgh,1.0961376165974818e-29,K,0.0,Kepler
-48.6,37.65880949200498,-16.007941080660622,21.650868411344355,58154.932502,3.8877304718805963,False,0.07944,Kepler,6.7857082346866955,2.7963303404355267e-29,2017jgh,7.936931560968533e-29,K,0.0,Kepler
-48.6,37.65880949200498,-12.19547377883277,25.463335713172206,58154.952935,130.10368801882078,False,0.07944,Kepler,2.1423243714641558,2.7963303404355267e-29,2017jgh,2.3695491135390632e-30,K,0.0,Kepler
-48.6,37.65880949200498,-12.259998609323766,25.39881088268121,58154.973369,122.51408994428702,False,0.07944,Kepler,2.2657012657527615,2.7963303404355267e-29,2017jgh,2.5146390006055538e-30,K,0.0,Kepler
-48.6,37.65880949200498,-15.318606528128676,22.3402029638763,58154.993802,7.332178396237921,False,0.07944,Kepler,10.299518880019187,2.7963303404355267e-29,2017jgh,4.2064798651360075e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.655797573125476,22.0030119188795,58155.014236,5.373260330669569,False,0.07944,Kepler,8.664529213117607,2.7963303404355267e-29,2017jgh,5.738458331362507e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.34839813040211,22.310411361602867,58155.03467,7.130866035923233,False,0.07944,Kepler,10.173892261151874,2.7963303404355267e-29,2017jgh,4.323499920828165e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.862916473262068,22.79589301874291,58155.055103,11.150242814959292,False,0.07944,Kepler,11.397207488049931,2.7963303404355267e-29,2017jgh,2.7646667697589165e-29,K,0.0,Kepler
